################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3509491914491184E-01 a         1     0     1     1     1
 -1.1094966848458866E-01 a         2     0     1     1     2
  2.6125141861846601E-01 a         3     0     1     1     3
 -1.3051185408289832E-02 a         4     0     1     1     4
  2.9122005790714267E-01 a         5     0     1     1     5
 -2.7838835581491275E-02 a         6     0     1     1     6
  1.8247351265904335E-01 a         7     0     1     1     7
  2.1577535708581744E-01 a         8     0     1     1     8
  6.9529346110896256E-02 a         9     0     1     1     9
 -3.1400951580995554E-02 a        10     0     1     1    10
  1.1690126839280453E-01 a        11     0     2     1     1
  2.5263914015807276E-01 a        12     0     2     1     2
 -1.1440356484308341E-01 a        13     0     2     1     3
  2.6720644443719826E-01 a        14     0     2     1     4
 -8.6936875504250125E-02 a        15     0     2     1     5
  1.8211678959537275E-01 a        16     0     2     1     6
  2.1555809707947848E-02 a        17     0     2     1     7
  1.2255703420828234E-01 a        18     0     2     1     8
 -5.3716011599906389E-02 a        19     0     2     1     9
  1.3006079351157962E-01 a        20     0     2     1    10
 -3.9789476924148533E-02 a        21     0     3     1     1
 -3.4624746410917850E-01 a        22     0     3     1     2
 -3.2821367569864940E-01 a        23     0     3     1     3
  8.3468577385262269E-02 a        24     0     3     1     4
 -2.0834749690715673E-01 a        25     0     3     1     5
 -2.4873630370550176E-01 a        26     0     3     1     6
 -9.8020362182593190E-02 a        27     0     3     1     7
  1.7145612905862731E-01 a        28     0     3     1     8
 -2.7585980039986113E-01 a        29     0     3     1     9
  3.0604458270372242E-01 a        30     0     3     1    10
 -1.1030659432285934E-02 a        31     0     4     1     1
 -3.1030220864952512E-01 a        32     0     4     1     2
 -2.3674204796327300E-01 a        33     0     4     1     3
 -2.7264477913836488E-01 a        34     0     4     1     4
 -7.1873098326153934E-02 a        35     0     4     1     5
 -3.5886182550045559E-01 a        36     0     4     1     6
 -1.3113682572377050E-01 a        37     0     4     1     7
  2.4628083955832497E-01 a        38     0     4     1     8
  2.1064929542863653E-01 a        39     0     4     1     9
 -3.4049689314527773E-03 a        40     0     4     1    10
  3.4300593938034474E-01 a        41     0     5     1     1
  2.9550655640434836E-01 a        42     0     5     1     2
 -1.6157298576763113E-01 a        43     0     5     1     3
  1.4243870140508325E-01 a        44     0     5     1     4
  3.6462121614969895E-01 a        45     0     5     1     5
 -1.7401402795655976E-01 a        46     0     5     1     6
  2.5048714178778175E-01 a        47     0     5     1     7
  2.4373729198450145E-01 a        48     0     5     1     8
 -1.0004205565976472E-01 a        49     0     5     1     9
 -7.7451772595972176E-02 a        50     0     5     1    10
  3.0082904814135392E-01 a        51     0     6     1     1
 -3.3623730045534200E-01 a        52     0     6     1     2
  2.7386459882677944E-01 a        53     0     6     1     3
 -1.0660986922022651E-01 a        54     0     6     1     4
