################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2119934812226746E-01 a         1     0     1     1     1
 -2.2752442242935783E-01 a         2     0     1     1     2
  1.3948471021162734E-01 a         3     0     1     1     3
  1.9424741866683218E-01 a         4     0     1     1     4
  9.7964666757818508E-02 a         5     0     1     1     5
  2.2588820102629234E-02 a         6     0     1     1     6
 -5.3893252763250708E-02 a         7     0     1     1     7
 -2.2516620749093028E-01 a         8     0     1     1     8
 -1.3093418307862439E-01 a         9     0     1     1     9
 -2.6489332980363253E-02 a        10     0     1     1    10
  1.8454811566924043E-01 a        11     0     1     1    11
  1.2422031591378618E-01 a        12     0     1     1    12
  3.5656051036575251E-02 a        13     0     1     1    13
 -2.3505808893388511E-01 a        14     0     1     1    14
  4.9209660885797285E-02 a        15     0     1     1    15
 -1.9564743041803784E-01 a        16     0     2     1     1
  6.0769517231408075E-02 a        17     0     2     1     2
 -8.7733475419233070E-02 a        18     0     2     1     3
  1.8910632093719781E-01 a        19     0     2     1     4
  1.3497587851497755E-01 a        20     0     2     1     5
  1.5543439409869933E-01 a        21     0     2     1     6
 -4.1533275279145724E-03 a        22     0     2     1     7
 -1.6735469732532743E-01 a        23     0     2     1     8
  1.7284649770277236E-01 a        24     0     2     1     9
 -1.2548192846925210E-02 a        25     0     2     1    10
 -9.9075877788506322E-02 a        26     0     2     1    11
 -2.4197388449823315E-01 a        27     0     2     1    12
  1.2963593555056743E-01 a        28     0     2     1    13
  1.7761123809107540E-01 a        29     0     2     1    14
 -1.8568605347604242E-01 a        30     0     2     1    15
  1.1645668864596824E-01 a        31     0     3     1     1
 -2.0345805142657791E-01 a        32     0     3     1     2
  1.9648544071554554E-02 a        33     0     3     1     3
 -6.6425124017616105E-02 a        34     0     3     1     4
 -1.4103358742575689E-01 a        35     0     3     1     5
 -3.5651957136554224E-02 a        36     0     3     1     6
  7.3240396696176990E-02 a        37     0     3     1     7
  1.8810228166925153E-01 a        38     0     3     1     8
  1.0030605349736965E-01 a        39     0     3     1     9
  1.1609639652704134E-02 a        40     0     3     1    10
 -3.5271529921409028E-02 a        41     0     3     1    11
  1.3783157119194792E-01 a        42     0     3     1    12
  1.3076594433643203E-02 a        43     0     3     1    13
  1.0401290180625875E-01 a        44     0     3     1    14
  9.9536860108462272E-02 a        45     0     3     1    15
 -1.5941278286324581E-01 a        46     0     4     1     1
  3.9461287662255908E-02 a        47     0     4     1     2
  1.7468022656903698E-01 a        48     0     4     1     3
  2.6052681653689397E-01 a        49     0     4     1     4
