################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.2733909655182809E-01   2.0093593637340481E+00   1.2460762633890681E+00   2.0098998667099241E-01
         1          2   0.0000000000000000E+00   8.9959888270464716E-01   8.2401321173046577E-02   1.3193812899063001E-01
         1          3   4.3286010218098014E-01   1.7859974245853583E+00   1.1075588670964378E+00   1.7626371363812982E-01
         1          4   0.0000000000000000E+00   7.8830412937661021E-01   6.9252248243114309E-02   1.1309048931382687E-01
         1          5   1.1239220990070363E-08   2.2129311287218933E+00   1.2375425224288157E+00   2.5326060366282266E-01
         1          6   3.2006178010900865E-01   1.5087801037385951E+00   9.3715735844010217E-01   1.4530036694269138E-01
         1          7   0.0000000000000000E+00   6.4669094723077070E-01   5.3453390559899693E-02   8.9831255992639053E-02
         1          8   2.6263930692319825E-09   1.7089454178326102E+00   9.2616657991594897E-01   1.9151488984527179E-01
         1          9   2.0043268043660592E-01   1.1981385596172462E+00   7.4539033759080686E-01   1.0965690655788578E-01
         1         10   0.0000000000000000E+00   4.7945309528916863E-01   3.6331365343918495E-02   6.3611502592028496E-02
         1         11   0.0000000000000000E+00   3.0718329375404801E-01   2.0715187743173463E-02   3.8338643879944873E-02
         1         12   3.2780471045460925E-02   6.2198717938379389E-01   4.0390994586636353E-01   4.5907318617999092E-02
         1         13   0.0000000000000000E+00   1.7846790320175948E-01   9.2841262016934746E-03   1.8465229465778273E-02
         1         14   2.0541783062189327E-14   5.8800125607681475E-01   1.8570019109564101E-01   4.3013195759366470E-02
         1         15   6.1695360116117157E-03   4.2120184756934448E-01   2.8812566681391116E-01   2.7287370710629512E-02
         1         16   0.0000000000000000E+00   2.7792752892122102E-01   3.7816072361268167E-02   4.7917551061507004E-02
         1         17   4.8570831008015329E-04   2.9846321997350300E-01   2.0160138194476185E-01   1.6466188231210311E-02
         1         18   0.0000000000000000E+00   3.2663094155561109E-02   5.4469952325081838E-04   1.3703748322429936E-03
         1         19   1.0292845409918574E-24   2.7941636586084451E-01   2.6300896251662684E-02   8.8698305971565868E-03
         1         20   0.0000000000000000E+00   8.0377792520623914E-01   6.3842968719185253E-02   1.1024205208144650E-01
         1         21   0.0000000000000000E+00   7.4692397794656507E-01   4.4000581338721471E-02   8.9704794142823382E-02
         1         22   2.0729866780860183E-12   9.1011335839697852E-02   2.8910651272204553E-02   6.2923716849819953E-03
         1         23   0.0000000000000000E+00   5.7783111190541202E-05   5.8991708220336400E-09   1.4262997416601164E-07
         1         24   0.0000000000000000E+00   1.2296254291969018E-02   2.1152954402317821E-07   2.6679888914255019E-05
         1         25   0.0000000000000000E+00   2.8398939190990291E-02   1.1076164314161019E-03   2.3383866336873084E-03
         1         26   3.0769472950485330E-09   5.2794042762772275E-01   2.3960914840156861E-01   5.5785158090243384E-02
         1         27   0.0000000000000000E+00   1.6888500521858144E-01   1.3967114271043142E-02   2.3771456985309691E-02
         1         28   0.0000000000000000E+00   5.3474803547352893E-02   4.9630679386337166E-03   7.9482404730227517E-03
         1         29   7.7095664714137375E-11   2.2800624362964386E-01   8.2668156904811413E-02   2.4402915530253144E-02
         1         30   1.3206498616540750E-03   1.0035187855315671E-01   3.3944542181678243E-02   1.2449292346539123E-02
         1         31   0.0000000000000000E+00   6.5681054360518215E-02   3.4400350586728163E-03   6.7321133034891501E-03
         1         32   1.2241655214221247E-09   6.1899484191276255E-01   2.6462219775446727E-01   6.4043912498890743E-02
         1         33   4.6162820956448594E-03   1.4639942192525290E-01   4.3709570756098971E-02   1.9730941778268393E-02
         1         34   0.0000000000000000E+00   1.7415018242153503E-02   6.1926247255301027E-04   1.3497631213557704E-03
         1         35   1.0328761864250512E-09   3.8766169752380947E-01   1.7685862219239293E-01   4.0752511448410640E-02
         1         36   1.3885365157902011E-13   5.8121292569533946E-02   1.6228480851473506E-02   5.1408607128147410E-03
         1         37   0.0000000000000000E+00   7.2189835856208097E-03   4.2610409104918730E-04   7.6530740315822665E-04
         1         38   0.0000000000000000E+00   1.3158434877866213E-03   2.9710592202082072E-05   7.7353588704455711E-05
         1         39   2.3527282869309050E-12   1.1378303411476962E-01   5.0336653098767822E-02   1.1516775150085479E-02
         1         40   0.0000000000000000E+00   2.7928946834583517E-03   9.1050397717073238E-06   1.8188357203732003E-05
         1         41   4.0060165869271911E-12   7.8567138495452468E-04   8.1072823950584519E-07   2.2044625187846337E-06
         1         42   1.9791634960464004E-12   3.4358710692274834E-04   1.0969532541495726E-07   9.0306239867816396E-07
         2          1   0.0000000000000000E+00   1.0984204564827278E+00   4.7339239843703596E-01   4.0053903599555324E-01
         2          2   0.0000000000000000E+00   3.0254085955729941E+00   1.0630607984802154E+00   8.6208141243956715E-01
         2          3   0.0000000000000000E+00   9.8860909511113138E-01   4.1977172639955446E-01   3.5719960469887496E-01
         2          4   1.0090828354475205E-01   8.8894522629313943E-01   5.6070705778308261E-01   1.7874814891091959E-01
         2          5   0.0000000000000000E+00   1.5138518934937064E+00   5.3640370028714524E-01   4.6949846200077466E-01
         2          6   0.0000000000000000E+00   4.9611244861863563E-01   2.0054731163270736E-01   1.7599534134884265E-01
         2          7   0.0000000000000000E+00   3.3443369891691460E-01   1.3060555711797725E-01   1.1600368099609309E-01
         2          8   0.0000000000000000E+00   9.3171688560257060E-01   2.7654972618188695E-01   2.6339327071440416E-01
         2          9   1.6023841126751972E-03   1.4920597656255050E-01   4.7079755727463167E-02   2.0135071340572588E-02
         2         10   0.0000000000000000E+00   1.8782971002687196E-01   7.1956553240250951E-02   6.4624699707419631E-02
         2         11   7.1824847678554746E-05   7.8040180627078612E-02   8.1357333207041395E-03   3.9753117361356954E-03
         2         12   0.0000000000000000E+00   7.8856970194512335E-02   2.9762481845497155E-02   2.7080141689986671E-02
         2         13   0.0000000000000000E+00   6.1824953996443743E-01   2.3065629768305618E-01   1.8796586563231849E-01
         2         14   0.0000000000000000E+00   4.7464061193660395E-01   1.2519071231180262E-01   1.2563534940704657E-01
         2         15   0.0000000000000000E+00   3.0263525235057243E-01   6.8480940452763345E-02   6.9840684566825600E-02
         2         16   3.8609088409355291E-10   1.0285087961686300E-02   1.1062270146287630E-05   4.5938012021892812E-05
         2         17   0.0000000000000000E+00   5.2951707263407671E-03   9.2044266915355098E-04   9.0536418736894650E-04
         2         18   0.0000000000000000E+00   1.5297722865424868E-01   2.7749116493089081E-02   2.8850318053100940E-02
         2         19   3.7030587243059437E-15   1.5129203352486464E-03   6.6734010725824508E-08   5.2079363776869834E-06
         2         20   0.0000000000000000E+00   5.3570171625107622E-04   3.5553956820262388E-05   4.0579530168838090E-05
         2         21   1.4530374321111582E-22   2.0134002027831768E-01   7.1199974387050218E-06   8.8057556764606533E-04
         2         22   0.0000000000000000E+00   2.2544759743975590E-01   4.9937051998982560E-02   4.1933839518314954E-02
         2         23   0.0000000000000000E+00   3.9196316841466301E-02   1.0264152945908525E-02   1.0546002647728817E-02
         2         24   0.0000000000000000E+00   7.1476410251076683E-01   1.7249852417845332E-01   1.3369838133709383E-01
