################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.7536604669395159E-01 a         1     0     1     1     1
 -3.2459804040887781E-02 a         2     0     1     1     2
  4.9049593223417914E-01 a         3     0     1     1     3
 -3.8794559739962403E-01 a         4     0     1     1     4
  5.0551540625118974E-01 a         5     0     1     1     5
 -1.6799779832038664E-01 a         6     0     1     1     6
  4.7377285243430045E-02 a         7     0     1     1     7
  1.7425778463115493E-01 a         8     0     1     1     8
 -6.7703318841994292E-02 a         9     0     1     1     9
  2.1540293710680065E-02 a        10     0     1     1    10
 -4.0171621205529290E-01 a        11     0     2     1     1
 -4.2633475657278758E-01 a        12     0     2     1     2
  3.4150337326619423E-01 a        13     0     2     1     3
 -3.4820775232133672E-01 a        14     0     2     1     4
  3.4222197475940841E-01 a        15     0     2     1     5
 -7.9390013767544010E-02 a        16     0     2     1     6
 -5.8778639897566631E-01 a        17     0     2     1     7
 -2.0815336972389883E-01 a        18     0     2     1     8
 -2.2143829288988823E-01 a        19     0     2     1     9
  3.0634686668357131E-01 a        20     0     2     1    10
 -3.5078385372161996E-01 a        21     0     3     1     1
 -2.0738632757136627E-01 a        22     0     3     1     2
 -2.4911802105106318E-01 a        23     0     3     1     3
 -1.7490413813662525E-01 a        24     0     3     1     4
 -2.7370576789120610E-01 a        25     0     3     1     5
 -1.2580428126677057E-01 a        26     0     3     1     6
  4.1683744892225916E-01 a        27     0     3     1     7
 -2.5449726987184496E-01 a        28     0     3     1     8
  3.1165013057360247E-01 a        29     0     3     1     9
 -2.2081005747810256E-01 a        30     0     3     1    10
  1.6244739863237581E-01 a        31     0     4     1     1
 -2.8269664902069480E-01 a        32     0     4     1     2
 -3.8785155324106341E-01 a        33     0     4     1     3
  9.5250804473004949E-02 a        34     0     4     1     4
 -1.8206554879162046E-01 a        35     0     4     1     5
  1.3492815768230498E-01 a        36     0     4     1     6
  5.7470934147583343E-02 a        37     0     4     1     7
  2.9445096986712255E-01 a        38     0     4     1     8
 -3.1032679063945257E-01 a        39     0     4     1     9
 -9.0991051620505831E-02 a        40     0     4     1    10
