################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.9996330696651343E+00   1.1876079998974325E+00   2.2713421260832389E-01
         1          2   0.0000000000000000E+00   9.1450260305627407E-01   7.0972678660669461E-02   1.2549269493473608E-01
         1          3   2.7982590666770550E-08   2.6664837242219299E+00   1.4577538505173284E+00   3.3913610085620333E-01
         1          4   0.0000000000000000E+00   1.7727341510612635E+00   1.0579142701666491E+00   1.9803299781090347E-01
         1          5   0.0000000000000000E+00   8.0147720188203520E-01   5.9736604202859346E-02   1.0759918561942661E-01
         1          6   1.1239062982101392E-08   2.2129311878681959E+00   1.1949534193075448E+00   2.7687970372149545E-01
         1          7   0.0000000000000000E+00   1.4973418322890950E+00   8.9818376360298136E-01   1.6204291439342791E-01
         1          8   0.0000000000000000E+00   6.5951415937687574E-01   4.6214404639877832E-02   8.5522692974447784E-02
         1          9   2.6263559631477033E-09   1.7089454801209647E+00   8.9650399715310514E-01   2.0677634176787946E-01
         1         10   0.0000000000000000E+00   1.1878826965046696E+00   7.1809154144317711E-01   1.2136665655530586E-01
         1         11   0.0000000000000000E+00   4.9479391742897272E-01   3.1520877586204164E-02   6.0633502381019888E-02
         1         12   0.0000000000000000E+00   3.2839025835328040E-01   1.8062313568429269E-02   3.6618522372279479E-02
         1         13   6.7912209590867232E-12   8.8944273824940323E-01   3.5743319381062527E-01   8.2734771274129024E-02
         1         14   0.0000000000000000E+00   6.2334110272082421E-01   3.9550254609444085E-01   5.1256995298474169E-02
         1         15   0.0000000000000000E+00   1.8605353345880038E-01   8.1475999763562963E-03   1.7685863877420431E-02
         1         16   2.0541481292445570E-14   6.7171698096603327E-01   1.8316560706176302E-01   4.4173031039919049E-02
         1         17   0.0000000000000000E+00   4.7804505443775136E-01   2.8453625866078802E-01   3.1377155048452308E-02
         1         18   0.0000000000000000E+00   2.7792749713013204E-01   3.2012605462353787E-02   4.5483606320284913E-02
         1         19   0.0000000000000000E+00   3.5176455073873325E-01   2.0027217276948922E-01   1.9574170169940772E-02
         1         20   0.0000000000000000E+00   3.5515878002649375E-02   4.8558728404089351E-04   1.3181695417622489E-03
         1         21   1.0292682527340086E-24   3.4457398472304634E-01   2.6826405514922942E-02   1.3345108619456121E-02
         1         22   0.0000000000000000E+00   7.9549634243380762E-01   5.4972596924327981E-02   1.0405893124250258E-01
         1         23   1.0077522850195012E-34   3.1592627501651782E-01   6.3219245834186602E-03   8.6287003520542950E-03
         1         24   0.0000000000000000E+00   1.6499121792213095E-01   7.1299718845845031E-02   1.0300309340995019E-02
         1         25   0.0000000000000000E+00   7.5474404326946243E-01   3.8713157784162018E-02   8.5860665186236529E-02
         1         26   0.0000000000000000E+00   1.0468577318001697E-01   2.8949873250886767E-02   6.3781774139206118E-03
         1         27   0.0000000000000000E+00   1.2197662816933088E-04   5.4396618616081299E-09   1.7120699846786698E-07
         1         28   0.0000000000000000E+00   3.8621494805899720E-01   7.8950494099612172E-03   2.3892890194078743E-02
         1         29   0.0000000000000000E+00   2.0757926511441788E-01   1.6489931859680953E-04   1.1549313028172421E-03
