################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.4346012269209376E-01 a         1     0     1     1     1
  1.3129508856435219E+00 a         2     0     1     1     2
 -8.3120790486822332E-02 a         3     0     1     1     3
  1.5795193259303492E-01 a         4     0     1     1     4
 -1.8823676648093819E-02 a         5     0     1     1     5
 -3.4503609674056186E+00 a         6     0     1     1     6
 -1.7813119891337487E-01 a         7     0     1     1     7
  9.9611822340749634E-01 a         8     0     1     1     8
 -1.3969861988855448E+00 a         9     0     1     1     9
  9.6544198346703647E-01 a        10     0     1     1    10
  2.6080968263372867E-01 a        11     0     1     1    11
  5.5655617496890453E-01 a        12     0     1     1    12
 -1.4602172159120592E+00 a        13     0     1     1    13
 -1.7397335938735428E+00 a        14     0     1     1    14
 -1.4099000629207477E+00 a        15     0     1     1    15
 -3.1199188554377849E-01 a        16     0     2     1     1
 -1.8127435158699054E-01 a        17     0     2     1     2
 -9.8821454369089873E-02 a        18     0     2     1     3
  3.3123686987784645E-01 a        19     0     2     1     4
 -6.6805536442118132E-02 a        20     0     2     1     5
 -7.8825343562082439E-01 a        21     0     2     1     6
  5.5445815578162350E-01 a        22     0     2     1     7
 -1.0533923208344043E-01 a        23     0     2     1     8
 -8.4052763329062874E-01 a        24     0     2     1     9
  4.1815820136084264E-01 a        25     0     2     1    10
 -4.1028101145603241E-01 a        26     0     2     1    11
  1.6433006934080924E-01 a        27     0     2     1    12
 -3.4025609249936295E-01 a        28     0     2     1    13
 -1.0510213686060410E-01 a        29     0     2     1    14
 -1.3206576023376964E+00 a        30     0     2     1    15
 -4.7404440343113358E-01 a        31     0     3     1     1
  2.8863151288381650E-01 a        32     0     3     1     2
  1.3026025513384112E-01 a        33     0     3     1     3
 -4.4287255242581175E-01 a        34     0     3     1     4
  1.2674632027242272E-01 a        35     0     3     1     5
 -7.4218662843195382E-01 a        36     0     3     1     6
 -4.1346230215479596E-01 a        37     0     3     1     7
 -8.5915969684840465E-01 a        38     0     3     1     8
 -6.9020147123643871E-01 a        39     0     3     1     9
  2.1856231586100969E-01 a        40     0     3     1    10
  2.5724504769024270E-01 a        41     0     3     1    11
 -2.2464093052805145E-01 a        42     0     3     1    12
 -5.7325001012481680E-01 a        43     0     3     1    13
 -3.2400261988764911E-01 a        44     0     3     1    14
 -3.4640889628929605E-01 a        45     0     3     1    15
  3.2733565817836224E-01 a        46     0     4     1     1
 -3.3510458005682309E-01 a        47     0     4     1     2
  2.7627769780976125E-01 a        48     0     4     1     3
 -9.2463080019022245E-02 a        49     0     4     1     4
 -8.5926512835365843E-01 a        50     0     4     1     5
  2.1576598040181856E+00 a        51     0     4     1     6
 -4.9532881308808241E-01 a        52     0     4     1     7
 -1.3827241541825956E+00 a        53     0     4     1     8
  4.9752708734433704E-01 a        54     0     4     1     9
 -3.8898050441281146E-01 a        55     0     4     1    10
 -4.0836338116724859E-02 a        56     0     4     1    11
 -4.6118748012876210E-01 a        57     0     4     1    12
 -2.4795857089271170E-01 a        58     0     4     1    13
  9.2464077312891391E-01 a        59     0     4     1    14
  2.2262610770953378E-01 a        60     0     4     1    15
 -3.2306682874024668E-02 a        61     0     5     1     1
  2.0817422717536943E-01 a        62     0     5     1     2
  6.0746892708188105E-01 a        63     0     5     1     3
  7.5705375244109951E-01 a        64     0     5     1     4
 -5.9238781799917872E-01 a        65     0     5     1     5
  1.6775046905166382E+00 a        66     0     5     1     6
 -1.1260715030650177E+00 a        67     0     5     1     7
 -3.9403692961616249E-01 a        68     0     5     1     8
  9.6915812223814546E-01 a        69     0     5     1     9
 -1.9660912865413247E+00 a        70     0     5     1    10
 -8.2311139163330427E-01 a        71     0     5     1    11
  5.2955246116886356E-01 a        72     0     5     1    12
  1.7949771350255230E+00 a        73     0     5     1    13
 -4.5919398351725638E-01 a        74     0     5     1    14
  1.3915425898788980E+00 a        75     0     5     1    15
  4.2615272226005668E-01 a        76     0     6     1     1
 -6.2959161969605326E-01 a        77     0     6     1     2
  3.2517613101282217E-01 a        78     0     6     1     3
 -3.3031379657252563E-01 a        79     0     6     1     4
 -7.4824025418355389E-01 a        80     0     6     1     5
  8.8631847334224123E-01 a        81     0     6     1     6
 -9.9355682511593968E-01 a        82     0     6     1     7
 -2.6330636925606197E-02 a        83     0     6     1     8
  4.7836831281443870E-01 a        84     0     6     1     9
  2.6691315373965929E-01 a        85     0     6     1    10
  6.8223700163470868E-01 a        86     0     6     1    11
 -9.3547959564032479E-01 a        87     0     6     1    12
 -9.4831692581401150E-01 a        88     0     6     1    13
  5.5471828670040704E-02 a        89     0     6     1    14
  1.1682556008435314E+00 a        90     0     6     1    15
 -4.4841531134350010E-01 a        91     0     7     1     1
  1.6880737036154106E-01 a        92     0     7     1     2
 -2.2674705999584360E-01 a        93     0     7     1     3
  1.3620682263427181E-01 a        94     0     7     1     4
  7.1765140525106386E-01 a        95     0     7     1     5
 -1.6795031034899852E+00 a        96     0     7     1     6
  9.5810557231158267E-01 a        97     0     7     1     7
  8.6074947476220576E-01 a        98     0     7     1     8
  1.3395887279007140E-01 a        99     0     7     1     9
  3.9704464980523180E-01 a       100     0     7     1    10
  2.3218525900281980E-01 a       101     0     7     1    11
 -6.3545812211102826E-01 a       102     0     7     1    12
 -1.6161081066406485E-01 a       103     0     7     1    13
  2.6860915111421108E-01 a       104     0     7     1    14
 -3.9458368863350579E-01 a       105     0     7     1    15
  7.7368832039640878E-01 a       106     0     8     1     1
 -1.0922010704423155E+00 a       107     0     8     1     2
  3.4378379963421163E-01 a       108     0     8     1     3
  5.0475021550200383E-01 a       109     0     8     1     4
 -1.4909723888906972E+00 a       110     0     8     1     5
  2.2295914484030015E+00 a       111     0     8     1     6
  1.8418681569724141E-01 a       112     0     8     1     7
  7.2950159586200691E-01 a       113     0     8     1     8
  5.5255115764280494E-01 a       114     0     8     1     9
 -1.6031777065722935E-01 a       115     0     8     1    10
  8.9394550793891114E-01 a       116     0     8     1    11
 -2.3674062732841175E-01 a       117     0     8     1    12
 -1.8455244621309477E-01 a       118     0     8     1    13
